,Date,CPI,Unemployment_Rate,G10Yield,G5Yield,G3Yield,EURUSD,GBPUSD,USDCHF,USDJPY,SP500_Close
233,2019-06-01,255.21,3.6,2.07,1.83,1.78,1.1206,1.2621,0.9994,108.39,2980.38
234,2019-07-01,255.8,3.7,2.06,1.83,1.8,1.1307,1.2644,0.9864,108.42,2926.46
235,2019-08-01,256.04,3.6,1.63,1.49,1.51,1.1062,1.2145,0.9938,108.28,2976.74
236,2019-09-01,256.43,3.5,1.7,1.57,1.59,1.0968,1.2086,0.9872,105.88,3037.56
237,2019-10-01,257.15,3.6,1.71,1.53,1.53,1.0932,1.2242,0.9936,107.7,3140.98
238,2019-11-01,257.88,3.6,1.81,1.64,1.61,1.1169,1.295,0.9855,108.16,3230.78
239,2019-12-01,258.63,3.6,1.86,1.68,1.63,1.1075,1.2936,0.992,109.09,3225.52
240,2020-01-01,258.91,3.6,1.76,1.56,1.52,1.1166,1.3128,0.9721,108.43,2954.22
241,2020-02-01,259.25,3.5,1.5,1.32,1.31,1.1062,1.3006,0.9655,108.59,2584.59
242,2020-03-01,258.15,4.4,0.87,0.59,0.5,1.1164,1.2791,0.9577,108.02,2912.43
243,2020-04-01,256.13,14.8,0.66,0.39,0.28,1.0934,1.2394,0.9675,107.05,3044.31
244,2020-05-01,255.85,13.2,0.67,0.34,0.22,1.0998,1.2509,0.9599,106.76,3100.29
245,2020-06-01,257.0,11.0,0.73,0.34,0.22,1.1123,1.2472,0.9613,107.56,3271.12
246,2020-07-01,258.41,10.2,0.62,0.28,0.17,1.1259,1.2474,0.9455,107.5,3500.31
247,2020-08-01,259.37,8.4,0.65,0.27,0.16,1.175,1.3053,0.9194,106.11,3363.0
248,2020-09-01,259.95,7.8,0.68,0.27,0.16,1.1949,1.3416,0.9072,106.0,3269.96
249,2020-10-01,260.25,6.8,0.79,0.34,0.19,1.1752,1.2901,0.9179,105.53,3621.63
250,2020-11-01,260.9,6.7,0.87,0.39,0.22,1.1634,1.2904,0.92,104.8,3756.07
251,2020-12-01,262.0,6.7,0.93,0.39,0.19,1.2039,1.3392,0.9005,104.4,3714.24
252,2021-01-01,262.52,6.4,1.08,0.45,0.2,1.2254,1.3551,0.8811,103.19,3811.15
253,2021-02-01,263.58,6.2,1.26,0.54,0.21,1.207,1.3672,0.8965,104.97,3972.89
254,2021-03-01,264.91,6.1,1.61,0.82,0.32,1.2054,1.3938,0.9138,106.68,4181.17
255,2021-04-01,266.75,6.1,1.64,0.86,0.35,1.1772,1.3825,0.9409,110.61,4204.11
256,2021-05-01,268.45,5.8,1.62,0.82,0.32,1.2059,1.3913,0.9116,109.08,4297.5
257,2021-06-01,270.66,5.9,1.52,0.84,0.39,1.2241,1.4168,0.8954,109.43,4395.26
258,2021-07-01,271.99,5.4,1.32,0.76,0.4,1.1857,1.378,0.9253,111.56,4522.68
259,2021-08-01,272.79,5.1,1.28,0.77,0.42,1.1873,1.3886,0.9051,109.22,4307.54
